领域范围,应用名称,帮助提问,帮助语句内容,任务内容微调,任务内容
影音视听,哔哩哔哩,如何离线缓存视频？,先进入哔哩哔哩APP-首页输入框搜索想看的视频-进入视频播放页后点击[缓存] - 选择相应的集数。,到哔哩哔哩观看“守护解放西第一季”，并下载第一集到手机中。,去哔哩哔哩看“守护解放西第一季”并将第一集缓存到手机里
,,如何购买邀请码？,先进入哔哩哔哩APP - [我的] - 点击[个人空间] / 头像 / ['镜像翻转图标键'] - [编辑资料] - [购买邀请码],在哔哩哔哩购买邀请码。,去哔哩哔哩购买邀请码
,,,,,
,QQ音乐,如何添加歌曲到自建歌单？,先进入app-首页输入框搜索歌曲信息-点击想要的歌曲版本-进入歌曲播放页面-右下方更多，表示更多或者菜单栏 -【加到歌单】，选择想要添加的歌单即可。,在QQ音乐中把“姑娘别哭泣”弹唱版加入到自建歌单“测试”。,去QQ音乐中将弹唱版的“姑娘别哭泣”添加到自建歌单“测试”中
,,如何设置音频的定时关闭？,先进入QQ音乐APP - [我的] - 点击右上角的列表、菜单、待办事项键 - 点击定时关闭的开启键 - 定时关闭的相关设置。,启用QQ音乐的自动关闭功能，并设定为45分钟。,开启QQ音乐的定时关闭，设为45分钟
,,,,,
,,,,,
,喜马拉雅,如何设置音频的定时关闭？,先进入喜马拉雅APP-点击[我的]-[全部服务]-[定时]-定时关闭的相关设置（默认为不开启）。,在喜马拉雅中启动计时关闭功能，并选择听完3集声音。,去喜马拉雅中开启定时关闭功能，并选择播完3集声音
,,如何查看优惠券？,先进入喜马拉雅APP-点击[我的]-[全部服务]-[钱包]-[我的优惠券]。,在喜马拉雅中查看已过期的优惠券。,去喜马拉雅中查看我已过期的优惠券
,,,,,
,哔哩哔哩漫画,如何领取大会员的专属券？,先进入哔哩哔哩漫画APP - 点击[我的] - [资产] - [卡券包] - [大会员特权] - 领取需要的券。,在哔哩哔哩漫画领取大会员的漫画福利券。,去哔哩哔哩漫画领取大会员的漫画福利券
,,如何关闭自动购买下一话漫画的功能？,先进入哔哩哔哩漫画APP - 点击[我的] - 点击设置键 - [自动购买管理] - 点击[标题：自动购买设置]- [开启「自动购买下一话」购买所有漫画时，默认勾选「自动购买下一话」的开启按钮键]。,禁用哔哩哔哩漫画的自动购买下一话漫画功能。,关闭哔哩哔哩漫画的自动购买下一话漫画的功能
,,,,,
,Spotify,如何搜索指定内容？,先进入SpotifyAPP - 点击[搜索] - 在输入框[想听什么]中输入指定内容并回车。,在Spotify中播放“Red Velvet”团体的音乐。,去Spotify中播放艺人团体“Red Velvet”的歌曲
,,如何查找个人的听歌历史？,先进入SpotifyAPP - 点击[音乐库] 。,在Spotify中查看并播放我喜欢的歌曲。,去Spotify中查看我喜欢的歌曲并播放
,,,,,
聊天社交,微信,如何添加特定表情包？,先进入微信APP - 进入文件传输助手的聊天界面- 右下角表情键 - 点击搜索键，不输入内容 - 点击[更多表情>] - 再次点击搜索键 - 在输入框[搜索表情]中输入指定表情包名称并搜索 - 点击列表中的指定表情包 - [添加]。,在微信中进入聊天，添加“线条小狗第1弹”表情包。,去微信中进入聊天界面，添加“线条小狗第1弹”表情包
,,,,,
,小红书,如何查看优惠券?,先进入小红书APP - [购物]- 右上角更多 -[卡券]。,在小红书查看可用的优惠券。,去小红书查看优惠券
,,如何查看收礼记录？,先进入小红书APP - [我]- 左上角的[菜单、播放列表键] -[钱包] - [礼物记录] - [收礼记录]。,在小红书查看收到的礼物记录。,去小红书查看收礼记录
,,,,,
,微博,发出的评论在哪查看？,先进入微博APP - 点击[消息] - [评论] - [所有评论] - 选择[我发出的/Mine]进行查看即可。,在微博中查看我曾发布的评论。,去微博查看我发过的评论
,,怎么关注感兴趣的微博账号？,先进入微博APP - 点击[发现]/[Discover] - 在搜索框中搜索感兴趣的微博账号 - 点击账号页面 - 点击关注。,找到西安交通大学的官方微博并关注。,找到西安交通大学的官方微博并关注
,,,,,
出行导航,高德地图,如何收藏一个地点?,先进入高德地图APP - [我的] - [收藏夹] - 在默认收藏夹中点击[添加地点] - 搜索地点 - 在地点详情页点击[加入收藏]。,在高德地图搜索西安北站并加入收藏。,去高德地图搜索西安北站并收藏
,,如何为收藏夹中的地点设置备注名?,先进入高德地图APP - [我的] - [收藏夹] - 点击收藏点的['更多、溢出菜单、省略号键'] - 点击[设置备注名]/[修改备注名] - 点击原有名称的[关闭或删除键] - 输入新备注名并保存。,在高德地图中将收藏的西安北站设置为高铁站。,去高德地图将收藏的西安北站设置备注名为高铁站
,,,,,
,携程旅行,怎么查别人帮我订的机票？,先进入携程旅行APP - 点击[行程] - 点击右上角的更多- [同步行程] -开启[我的实名证件]。,在携程旅行中查询我已预定的机票。,去携程旅行查别人帮我订的机票
,,怎么预定民宿？,先进入携程旅行APP - 点击[民宿/客栈] - 进入选择日期页面，先点击指定入住日期再点击指定离店日期 - 在[关键字/位置/民宿名]输入框中输入民宿关键字，进行搜索 -选择心仪民宿。,在携程旅行中预定12月14日至12月15日在西安永宁门附近的民宿。,去携程旅行预定12月14日到12月15日西安永宁门附近的民宿
,,如何查看我的旅行路线？,先进入携程旅行APP - [行程] - [我的路线]。,在携程旅行中查看我的旅行路线。,去携程旅行查看我的旅行路线
,,,,,
,铁路12306,怎么查询火车票？,先进入铁路12306APP - （已默认为火车票选择页面）进入日期选择页面，点击查询日期 - 进入左侧的出发地选择页面，选择地点 - 进入右侧的目的地选择页面，选择地点 - 点击[查询车票]。,在铁路12306中查询12月30日从西安到北京的火车票。,去铁路12306查看12月30日从西安到北京的火车票…
,,怎么查询火车票？,先进入铁路12306APP - 点击[在线订票 简单快捷] - 进入日期选择页面，点击指定日期 - 进入出发地选择页面，选择地点 - 进入到达地选择页面，选择地点 - 点击[查询车次]。,在铁路12306中查询12月27日从长沙到重庆的火车票。,去铁路12306查看12月27日从长沙到重庆的火车票
,,,,,
,移动交通大学,,,,
,,,,,
,航旅纵横,如何查看机场大屏？,先进入航旅纵横APP - 点击首页中的[全部] - [行业机构] - [机场专区] - 将当前机场切换到相应机场 - [机场大屏]。,在航旅纵横中查看上海浦东机场的机场大屏。,去航旅纵横查看上海浦东机场的机场大屏
,,如何根据航班号查询航班,先进入航旅纵横APP - 点击[航班动态] - 在航班号的输入框输入航班号 - 点击[航班查询],在航旅纵横中查询CA8888航班。,去航旅纵横查询CA8888航班
,,,,,
购物比价,淘宝,淘宝退款记录删不了怎么办？,先进入淘宝app - [我的淘宝] - 我的订单中点击[退款/售后] - 选择相应订单，删除记录。,去淘宝中删除订单中的第一条退款记录。,删除淘宝订单的第一条退款记录
,,如何给全部订单价保？,先进入淘宝app - [我的淘宝] - [官方客服] - [价保中心] - 一键价保。,在淘宝中为所有订单启用价格保护。,去淘宝给所有订单添加价保
,盒马,,,,
,,,,,
,,如何P图?,可以点击首页[图片美化] 进入修图,,
摄影摄像,美图秀秀,如何现拍一张图片并添加滤镜？,点击[美图秀秀]进入APP - [相机] - [快门键] - [美化] - [滤镜] - [更多] - 在搜索框输入指定滤镜名称 - [使用]。,在美图秀秀中拍摄一张照片，然后应用“深夜食堂”滤镜。,去美图秀秀现拍一张照片并添加滤镜“深夜食堂”
,,,,,
,轻颜,,,,
,,,,,
金融理财,支付宝,如何取消淘宝的免密支付？,先进入支付宝APP - [我的] - [设置] - [支付设置] - [免密支付/自动扣款] - 选择淘宝，关闭服务。,在支付宝中取消淘宝的免密支付。,在支付宝中取消淘宝的免密支付
,,,,,
,微信,如何暂停使用付款码支付功能？,先进入微信APP - 点击右上角加号 - [收付款] -  [使用付款码]的更多、溢出菜单 - [暂停使用]。,在微信中停用付款码支付功能。,在微信中暂停使用付款码支付功能
,,,,,
,支付宝,,,,
,,,,,
美食娱乐,饿了么,如何新增收货地址？,先进入饿了么APP - [我的] - [设置] -[收货地址管理] - [新增地址]  。,在饿了么中添加新的收货地址。,去饿了么中新增收货地址
,,,,,
,美团,,,,
,,,,,
,,,,,
运动健康,keep,如何开启体态评估？,先进入Keep - [我的] - 点击左上角[菜单、播放列表键] - [体态评估]。,在Keep中启用体态评估。,去Keep中开启体态评估
,华为运动健康,如何设置运动自动暂停？,在运动页面选择户外跑步、室内跑步、步行或骑行任一运动类型，点击右上角四个点记号，选择运动设置打开自动暂停开关。,在华为运动健康中设置运动自动暂停。,去华为运动健康设置运动自动暂停
,,如何设置心率上限值？,"先进入华为运动健康app - [我的] - [设置] - [运动设置] - 选择运动类别（默认为跑步类）- 点击[心率上限]
- 选择要设置的心率上限值 - 点击确定",在华为运动健康中将跑步的心率上限设为198次/分钟。,去华为运动健康设置跑步的心率上限值为198次/分钟
,训记,如何查看指定动作的讲解？,先进入训记APP - [动作] - 在搜索框输入指定动作名称并回车 - 点击下方出现的讲解视频。,在训记中观看俯身飞鸟动作的讲解。,去训记中观看俯身飞鸟动作讲解
,,,,,
学习资讯,网易有道词典,如何下载离线词典？,先进入网易有道词典APP - [我的] - [离线词典] - 点击指定词典的下载键。,在网易有道词典中下载离线版本的牛津词典。,去网易有道词典下载离线的牛津词典
,今日头条,如何打开/关闭头条的新闻推送呢?,先进入今日头条APP - 点击[我的]页面 - 页面右上角设置 - 点击[推送通知设置]内开启/关闭该功能。,打开今日头条的新闻推送。,打开今日头条的新闻推送
,微信读书,如何设置私密阅读?,先进入微信读书APP - [书架] - 长按需要设置的书籍 - [私密阅读] - 选择开启,将微信读书的阅读设置为私密。,将微信读书设置为私密阅读
,,如何离线下载书籍?,1多本书籍离线下载：Step1: 在书架中点击编辑，按钮或长按某一本书可激活书架工具栏，进入编辑状态。Step2:勾选需要设置的书籍，然后点击工具栏的[离线下载，按钮。Step3:在跳出的弹框中，点击[开启]可开始自动下载所选书籍的已购内容 (非wifi环境中会再次询问是否开启)。2.单本书籍离线下载：step1: 在阅读界面，点击屏幕中间 (大概竖屏1/3位置)，激活工具栏，并点击右上角三个点的按钮，可展开更多选项。step2:在展开的选项中点击r离线阅读，按钮，可开始自动下载本书的已购内容 (非wifi环境中会再次询问是否开启)。,在微信读书中下载《西游记》。,去微信读书下载西游记
,知乎,如何查找赞过的内容？,先进入知乎APP - [我的] - 点击[点击查看个人主页] - [赞同]。,在知乎中查看我点赞过的内容。,去知乎中查看我赞过的内容
,,,,,
效率办公,记事本？WPS？,,,,
,网易邮箱大师,只能收取1个月的邮件怎么办？,在[设置] - [POP3/SMTP/IMAP] - [设置POP3/SMTP/IMAP] - [IMAP/SMTP服务]中选择[收取全部邮件]。,在网易邮箱大师中设置接收所有邮件。,去网易邮箱大师设置为收取全部邮件
,qq邮箱,,,,
,腾讯会议,,,,
,日历,如何给节日添加提醒事项？,先进入系统应用“日历”中 - 选择对应节日- 点击加号键 - 在标题中输入事项名称 - 若有其他要求就选择相应选项 - 点击同意键,在系统应用“日历”中为圣诞节添加提醒事项“购买礼物”。,去系统应用“日历”中给圣诞节添加提醒事项“买礼物”
,信息,如何查看拦截骚扰信息？,先进入系统应用“日历”中 - 点击右上角“::” 或者菜单键 - [骚扰拦截]。,在系统应用“信息”中删除所有骚扰信息。,去系统应用“信息”中删除所有骚扰信息
,Chrome,如何设置搜索引擎？,先进入Chrome浏览器中 - 点击右上角[更多、溢出菜单、省略号键] 或 ['●●●'] - [设置] - 点击搜索引擎。,将Chrome浏览器的默认搜索引擎更改为Bing。,将Chrome浏览器的默认搜索引擎设置为Bing
,,,,,
便捷生活,中国移动,,,,
,菜鸟,如何开启小程序的取件授权？,先进入菜鸟APP - 点击[我的] - [设置] - [取件授权设置] - 点击指定小程序的开启键。,在菜鸟中启用丰巢小程序的取件权限。,去菜鸟开启丰巢小程序的取件授权
,支付宝,怎么查找小程序？,先进入支付宝APP - 在顶部搜索栏输入小程序名字并搜索 - 在出来的搜索列表中点击指定小程序。,在支付宝的“校园派”小程序中为我的校园卡充值。,去支付宝中的“校园派”小程序中给我的校园卡充值
,,,,,
,天气,如何查看指定城市的天气？,先进入系统应用“天气”中 - 点击右上角的[更多、溢出菜单、省略号键] - [管理城市] - [添加城市] - 在备选城市项中点击指定城市。,在系统应用“天气”中查看北京的天气。,去系统应用“天气”中查看北京天气
,联系人,,,,
,,,,,
功能设置,设置,如何将系统时间改为24小时制？,先进入系统应用“设置”中 - 在输入框[搜索设置项]中输入“24”并搜索- 点击列表中出现的“24” - 开启24小时制。,在设置中将时间格式设为24小时制。,去设置中将时间设为24小时制
,,,,,
,支付宝,如何切换深色模式？,先进入支付宝APP - [我的] - 设置键 - [通用] -进入深色模式选择页面 - 点击相应选项- [保存]。,将支付宝的深色模式设置为跟随系统。,支付宝的深色模式设置为跟随系统
,,,,,
,微信,如何在发现页显示别的功能？,先进入微信APP - [我] - 设置键 - [通用] - [发现页管理] - 开启指定功能的显示。,在微信中的“发现”页中添加“搜一搜”功能。,去微信中在我的发现页添加“搜一搜”功能
,,,,,
,哔哩哔哩,怎么查看最新的番剧更新？,想看最新的番剧？轻松一点，打开哔哩哔哩，点击首页，最新番剧都在这里等着你哦！,,
,QQ音乐,怎样创建自己的歌单？,想把最喜欢的歌曲整理在一起？打开QQ音乐，点击创建歌单，随心添加歌曲，分享给好友，一起享受音乐的美好。,,
,喜马拉雅,如何下载有声读物离线收听？,在路上没网？别担心！打开喜马拉雅，找到喜欢的有声读物，点击下载按钮，即可随时随地畅听，再也不怕断网啦！,,
,哔哩哔哩漫画,怎么查看最受欢迎的漫画？,想追最热门的漫画？打开哔哩哔哩漫画，点击排行榜，即可看到大家都在追的热门漫画，赶紧加入漫迷大家庭吧！,,
,Spotify,如何创建个性化的播放列表？,喜欢自定义音乐体验？在Spotify，打开你喜欢的歌曲，点击“添加到播放列表”，创建属于你的个性化歌单，享受专属音乐时光。,,
,小红书,怎样发布自己的购物心得？,发现好货了想分享？打开小红书，点击发布心得，分享你的购物体验，帮助更多人发现好物，也能收获更多有趣的小伙伴。,,
,微博,如何设置屏蔽不喜欢的内容？,不想看到某些内容？在微博，打开设置，选择屏蔽设置，添加关键词或用户，让你的时间线更清爽，只看到你感兴趣的内容。,,
,高德地图,怎么查找周边的美食？,饿了想找好吃的？打开高德地图，点击搜索，选择附近，美食推荐就在眼前，不用愁吃什么啦！,,
,携程旅行,如何查看航班动态？,出行前想知道航班动态？打开携程旅行，输入航班号或航空公司，即可实时查看航班信息，随时了解航班状态。,,
,铁路12306,怎么购买火车票？,出行选择火车？在铁路12306，选择出发地、目的地和日期，点击查询，选好座位后，支付就能轻松搞定，出发前记得带上票哦！,,
,移动交通大学,如何查询公交时刻表？,想知道公交时间？打开移动交通大学，输入线路或站点，即可查看实时公交时刻表，再也不用担心赶不上车啦！,,
,航旅纵横,怎样查看机场登机口信息？,出行前想了解登机信息？打开航旅纵横，输入航班号或机场名，即可查看登机口、航班状态等详细信息，让你出行更便捷。,,
,淘宝,如何找到优惠券？,想买东西更便宜？在淘宝，打开商品页面，点击领券，轻松领取优惠券，省下的钱可以再多买一些其他喜欢的东西哦！,,
,盒马,怎么查看商品的产地信息？,在买食品想了解产地？打开盒马，扫描商品二维码，即可查看详细的产地信息，让你更放心地挑选食材。,,
,美图秀秀,怎么使用美颜滤镜？,拍照想变美？打开美图秀秀，选择照片，点击美颜滤镜，一键磨皮美白，轻松变身拍照达人，让你的照片更出彩。,,
,轻颜,如何拍出自然的美照？,喜欢清新自然的照片？打开轻颜，调整滤镜和磨皮度，拍摄时光精彩瞬间，展现最真实的自己，让每张照片都充满自然美。,,
,微信,怎样查找好友的动态？,想了解朋友的最新动态？在微信，点击发现，选择朋友圈，浏览好友的动态，点赞评论，分享生活趣事，拉近彼此距离。,,
,支付宝,如何设置支付密码？,担心支付安全？在支付宝，打开设置，选择支付设置，设置支付密码，保护账户安全，让你的资金更有保障。,,
,饿了么,怎样使用优惠券下单？,饿了吗？打开饿了么，选择美食，加入购物车，下单时记得使用优惠券，享受美食的同时，也省下一些零花钱。,,
,美团,如何评价餐厅的服务？,吃完饭觉得服务好？在美团，打开订单，选择评价，给餐厅打个五星，分享你的用餐感受，让更多人知道这家餐厅有多赞。,,
,大麦,怎样购买演唱会门票？,喜欢音乐想去演唱会？打开大麦，搜索喜欢的艺人或演出，选择座位，轻松购票，不错过任何一场精彩演出。,,
,keep,如何制定科学的健身计划？,想保持身材？在keep，选择锻炼计划，根据个人情况制定科学的健身计划，坚持锻炼，享受健康生活。,,
,华为运动健康,怎样记录每日步数？,关心健康想多走路？打开华为运动健康，查看步数记录，设定目标，每天坚持走路，让运动成为生活的一部分。,,
,训记,如何有效记录学习笔记？,学习中想更高效记录笔记？在训记，打开笔记本，选择分类，结合文字、图片、录音等多种方式，记录知识点，方便复习。,,
,网易有道词典,如何使用离线词典功能？,在没网的地方也想查词？打开有道词典，找到词汇，点击下载，即可离线使用，不管在哪都能方便查词，随时提升语言水平。,,
,今日头条,怎样个性化定制新闻推荐？,想看到更感兴趣的新闻？在今日头条，点击头条，选择感兴趣的标签，系统会为你推送更符合你口味的新闻，个性化阅读。,,
,微信读书,如何分享读书心得？,读完好书想分享？在微信读书，打开书籍，点击分享心得，记录读书感悟，与好友交流，共同探讨书中精彩。,,
,知乎,怎么提出问题并获取解答？,有疑问想得到解答？在知乎，点击提问，清晰描述问题，选择相关话题，等待知友们的回答，一起交流分享知识。,,
,网易邮箱大师,如何设置邮件过滤规则？,收到太多垃圾邮件？在邮箱大师，打开设置，选择过滤规则，添加关键词或发件人，过滤掉不需要的邮件，让收件箱更整洁。,,
,qq邮箱,怎样设置邮箱提醒？,担心错过重要邮件？在qq邮箱，打开设置，选择提醒设置，开启邮件提醒，及时获取最新邮件通知，不漏接任何重要信息。,,
,腾讯会议,如何创建一个会议？,需要开会？在腾讯会议，点击创建会议，设置时间和邀请人，一键生成会议链接，方便大家迅速加入，高效沟通无障碍。,,
,日历,怎样添加重要的日程？,忙碌的生活需要良好的计划？在日历，点击添加日程，填写事件和提醒，确保不会漏掉任何重要日程，生活更加有序。,,
,信息,怎样查看短信已发送的时间？,发送短信后想确认时间？在信息，打开已发送短信，查看时间戳，清晰了解短信发送的准确时间，方便时间管理。,,
,Chrome,如何保存网页书签？,喜欢的网页想保存？在Chrome，打开网页，点击右上角的星星图标，添加到书签，方便随时查看，不再迷失在浩瀚的网络中。,,
,中国移动,怎样查询流量使用情况？,担心流量不够用？在中国移动，拨打*100#，查询流量使用情况，了解剩余流量，让你更好地掌握手机流量的使用。,,
,菜鸟,如何查看包裹物流信息？,等待包裹想知道进展？打开菜鸟，输入包裹单号，即可查看实时物流信息，清晰了解包裹的当前位置，提前迎接包裹到来。,,
,天气,怎样查看未来一周的天气？,出门前想知道天气怎么样？在天气，选择城市,,
,,,,,
,,,,,
,,这个是闪充的吗？,我觉得不是 毕竟只是一根线 闪充主要是充电器,,
,,z3i标准版能用吗,只要手机不是c接口的，都能用,,
,,这个线质量怎么样，求真实回答，刷者勿扰。谢谢。,刚开始挺好，用了一个月松了然后就接触不良那种了,,
,,Vivo y67可以用吗？,还可以，就是充电时间会长一些,,
,,vivo x20用这个线支持闪充吗？,支持 但是你得有原装的充电头,,
,,20plus可以吗,这个不太清楚,,
,,耳机，充电器都有吗,配置了充电器，没有耳机，如果是应届高考生或者是在校学生有可以自选的礼品,,
,,你们用的过程中手机会热吗,玩不到十分钟就发热了。充电也热。目前还没打游戏就日常用用发热太快了。,,
,,请问你们手机充电发烫吗？我这充电巨烫，不充电不烫！,正常的，肯定烫啊，功率越高越烫的,,
,,你们的晚上待机耗电快吗,正常玩肯定没问题啊，加上又是刚买的，怎么可以会掉电快,,
,,打王者长时间会卡吗，会发烫吗,完全没问题,,
,,这手机信号怎么样,信号不好，打王者360,,
,,你们的neo8玩钢琴块2有电流的声音吗,我玩滚天的,,
,,辣眼睛吗？用着眼酸眼累吗,有那个护眼模式很舒服。长时间玩手机哪有不累的，正常使用的话没什么感觉。,,
,,是快速充电吗？,是快速充电，非常棒,,
,,vivo的能快充吗？,可以啊，现在的智能手机一般都支持快充！,,
,,充电接头是那种,USB那种 充电速度还可以,,
,,支持小米11ULTRA m吗？,tc接口都能充，能不能满速就不知道了,,
,,支持OPPOK95G手机吗？,估计不可以，建议你问商家，这个是华为的,,
,,iphone 能用吗？,不能用，type-c的口子,,
,,支持华为手机66w快充吗？,支持，充电很快。,,
,,这款显示屏带音响吗？,不带，不建议这个,,
,,Intel® UHD Graphics 730核显能开高刷吗,最好不要,,
,,和华星的hva比怎么样？,没用过华星的，这个整体还行，不过HVA肯定比VA好,,
,,新出这款190HZ的带鱼屏如何？相比其他34寸的哪个性价比更高？,遥遥领先,,
,,GT34支持双设备分屏显示吗？,支持的吧 我没用这个功能,,
,,接苹果放Mac book没问题吧,你这个本有HDMI口就行，我的本是miniHDMI口的，显示器送的线不能用，另外买了一个接上没问题。,,
,,荣耀9能用吗？,只要是Type-C的都能用！,,
,,是什么型号的处理器,不显示，网上说是9000S,,
,,拍摄、画画、搞设计性能怎样？比苹果好吗？,拍摄:中规中矩吧，和苹果各有千秋。 画画:嗯，虽然说是搭配那个笔但是我看那个笔的反馈不是太好。然后目前我也没有买那个笔。 稿的设计性能: wps p c 版上手很快非常好用,,
,,剪辑视频，专业P图够用吗？,建议根据软件配置要求、自身购买力等因素，结合网络平台测评选择适合自己的工具。,,
,,可以连接鼠标吗？,可以连接,,
,,摄像头怎么样，比苹果清楚么，想买来直播课，要清楚一点的画面，,有史以来用过的最差劲的平板，华为真是害人不浅,,
,,请问一下WPS可以免费使用吗会卡吗，看视频清晰吗，方便做PPT吗,可以免费用，但是做ppt肯定不如电脑方便,,
,,有键盘吗,键盘需要自己买，反正我没买,,
,,可不可以插U盘呀？,可以呀，C转A就行，我直接插C口硬盘。,,
,,内存多少G呢？,256g,,
,,你们下单多久能拿到货,预售的时候买的不到一周吧,,
,,活力版是直屏还是曲面屏？,直屏好用,,
,,nova12运行内存多大？和nova11有什么区别？,8GB，功能和外观及相机都有点差别,,
,,活力版边框是塑料的吗？,手机不是都是这样吗,,
,,为啥只放一张卡,应该是可以放两张的，背靠背，其实我也不知道,,
,,和小米k70比哪个好？,不知道，我从来没有用过小米手机,,
,,移动、电信全部停止办理esim业务，恢复时间不确定，请问watch4还值得买吗？,不受暂停影响，我刚买的，只要是华为手机鸿蒙系统，中国移动，2分钟在线就开通了，超级方便,,
,,哪家网络运营商支持这个esim卡？,实现不了，核实清楚再买，现在三大运营商都办理不了esim业务。不要踩坑！,,
,,亲们手表充满电用多久亲们充满电可以用多久,两天左右吧,,
,,可以用手表蓝牙连接耳机听歌么，比如手表上下载qq音乐 直接播放 ，不需要带手机,北京联通，一号双终端，只要号不停机，无论是否带着手机都能接打电话。短信同电话。 可连接WIFI和号码流量。户外运动非常之便利，能听华为或酷狗音乐。运动信息会播报,,
,,续航怎么样,非常差，跑步一小时，耗电百分之二十三，同时开华为音乐还卡，无语,,
,,这个能用添加NFC公交卡吗?,可以。交通卡，银行卡。都行,,
,,女生戴好看吗,骨架小的不太秀气,,
,,小学生适合吗？,不适合，个人感觉小学生买长方型那种就行,,
,,有找手机的功能吗？,有找手机的功能，而且手表也有铃声模式，手机华为运动app里面还有找手表功能呢！很实用,,
,,防水效果怎么样啊，游泳可以吗,OPPO Watch 4 Pro防水等级为5ATM，即游泳型防水，可用于游泳池或海滨游泳等浅水域的水上活动，不适用浮潜、热水淋浴、温泉、跳水等场景；游泳结束后，可长按表冠退出水下模式，松开表冠将会进行声波排水，使用更安心。,,
,,续航咋样啊,全智能模式加上每天运动45分钟左右，大概三天左右吧,,
,,你们买了之后回不回贴膜，带壳？,最好要贴膜带壳 因为不耐划,,
,,犹豫买这个还是买苹果,当然是买这个，比苹果便宜还好用,,
,,大家充电一次用多久啊，我的咋一天就用最少百分之30,开的东西多就用的快，一天30差不多，正常的,,
,,屏幕能调常亮吗,可以,,
,,可以测血压吗,不可以 目前能测血压的智能手表，只有华为跟三星。华为有一款专用的测血压的手表，表带里有气囊的那种。三星有正常可以测血压的手表。每一个月需要跟血压计校对一次。 如果需要血压的话，推荐用三星的那款，但三星的待机时间很短，目前最好的watch5Pro，最多待机三天。,,
,,耳机上的保护膜需要撕掉吗？,能用100超级快充电吗,,
,,需要单独购买数据线吗？,没送线，但是说明书里面写了任意功率的充电器和线都可以充，Type-C接口的，基本都是通用手机的,,
,,戴久了耳朵疼吗,戴久了，你会忘记它的存在，好几次戴着洗澡了,,
,,非oppo系手机，会有什么功能不能适配吗,基本没有，弹窗下APP就行,,
,,如果在图书馆学习的话，漏音会不会到影响别人的程度啊？,不会的，没那么夸张，挺耐用的,,
,,耳机直径大不大？撑耳朵吗？,我觉得没有air2舒适，有点撑耳朵。,,
,,里面有松子吗,没有，但是，很实惠的一个组合，满减,,
,,有坏的吗？,我买的也有坏的，吃着苦,,
,,有开口器吗？,夏威夷果里有开口器,,
,,评价里很多人拿到的零食里，有虫蛀或者发霉，大家的有吗？,生产日期都很新，没有发现虫蛀发霉变质的,,
,,里面是不是像三只松鼠一样会放一些花生瓜子南花豆？,这个礼盒是全坚果礼盒，里面有核桃2包，腰果1包，开心果1包，夏威夷果1包，板栗1包，碧根果1包，巴达木2包，杏仁1包，这个礼盒超级划算，都是狠货,,
,,你们坚果里有虫子吗,没有，挺好的呢,,
,,味道怎么样,有些坚果有异味,,
,,哪种口味比较好吃,毫无疑问巧克力，其他都是渣渣,,
,,请问跟超市买的有区别？,这里价格实惠，还有赠送礼物！,,
,,和士力架相比哪个好,脆脆鲨好吃，士力架太腻了,,
,,在这里买的零食能不能吃的，会不会吃坏肚子？,没有，觉得挺好,,
,,这个是无糖的吗,不是无糖的,,
,,盒子有多大？,盒子大，巧克力就十小块，送人好看，自己吃不实惠,,
,,有没有特别甜？,不是很甜,,
,,和超市比那个便宜一点了？,反正比超市零售便宜些,,
,,香辣，麻辣，酸辣，哪两种更好吃？,我个人觉得香辣和酸辣最好吃,,
,,有没有在里面吃到虫子的？,没有虫子，味道勉勉强强吧，数量挺多的,,
,,肉松面包一箱几个,10包左右,,
,,乳酪夹心我尝不出任何味道,感觉还好吧，反正挺好吃的。上面肉松挺多的。,,
,,90天的保质期？配料表都是啥啊？,这种保质期都长 应该没啥问题,,
,,这个土司好像有点苦，大家买回去吃感觉有点苦吗？,我吃这不会啊,,
,,这个19mm的柄长有3cm吗？,有没有没量过，但是有个别的不好用，一掰就掉,,
,,一盒大概几个粉色几个蓝色几个绿色,没数过，感觉各种颜色差不多？比较均衡,,
,,买看可以考清华吗？,可以，直接入,,
,,这笔握着粗吗?,很舒适，粗细刚好，强烈推荐！,,
,,用这个考试可以得一百分吗,看你自己的实力,,
,,这个笔速干吗,还可以，质量不错,,
,,按动笔写的时候笔头都是不稳定的吗，就是不想拔盖那样被固定了,肯定是稳定的啊,,
,,摘抄英文语法，适合吗,横格纸很合适啊,,
,,纸张或油墨有问题吗？为什么感觉有点异味？,刚印刷的好像都有味道吧，书不也有，用用就没了,,
,,一本大概能用多久呀,能用多久....这怎么说，反正80张，看你记笔记怎么加了,,
,,家人们，你们买这个用来记什么类型的笔记,高三文综笔记,,
,,本子推荐吗,还不错，这价格可以了,,
,,会卡页吗,我用着没有，就是正常本。页数没有几百页所以不会卡页。,,
,,买个初中生的，可以用吗,可以，笔记本不分学生啊,,
,,用完后，怎么换笔芯？,不可以吧，我都重新买了,,
